VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,2020 Census Tract
5UXTA6C05P,WA,2023,BMW,X5,PHEV,True,30,53077002803
5YJRE11B48,BC,2008,TESLA,ROADSTER,BEV,True,220,0
5YJSA1E24G,WA,2016,TESLA,MODEL S,BEV,True,210,53033004902
1N4AZ1CP5J,WA,2018,NISSAN,LEAF,BEV,True,151,53033020100
5YJ3E1EA6J,WA,2018,TESLA,MODEL 3,BEV,True,215,53029971100
1G1FW6S00H,WA,2017,CHEVROLET,BOLT EV,BEV,True,238,53035091301
5YJ3E1EA0J,WA,2018,TESLA,MODEL 3,BEV,True,215,53061052009
1N4BZ1BV4M,WA,2021,NISSAN,LEAF,BEV,False,0,53033008500
5YJ3E1EB3J,WA,2018,TESLA,MODEL 3,BEV,True,215,53033032321
SADHB2S1XK,WA,2019,JAGUAR,I-PACE,BEV,True,234,53033012000
5YJXCAE21G,WA,2016,TESLA,MODEL X,BEV,True,200,53033007201
1N4AZ0CP8D,WA,2013,NISSAN,LEAF,BEV,True,75,53033023901
WBY1Z4C53F,WA,2015,BMW,I3,PHEV,True,72,53033008600
5YJ3E1EA3L,WA,2020,TESLA,MODEL 3,BEV,True,266,53029970700
WP0AC2Y13L,WA,2020,PORSCHE,TAYCAN,BEV,True,192,53061052009
5YJ3E1EB2J,WA,2018,TESLA,MODEL 3,BEV,True,215,53033022803
5YJ3E1EBXJ,WA,2018,TESLA,MODEL 3,BEV,True,215,53033032211
7SAYGDEE7P,WA,2023,TESLA,MODEL Y,BEV,False,0,53061052107
WA1E2AFY8M,WA,2021,AUDI,Q5 E,PHEV,False,18,53033032402
5YJSA1E23J,WA,2018,TESLA,MODEL S,BEV,True,249,53033029902
5UXTA6C01N,WA,2022,BMW,X5,PHEV,True,30,53033020500
5YJ3E1EB6L,WA,2020,TESLA,MODEL 3,BEV,True,322,53061041812
